cid,sellerid,brandname,InStock,priceRan,salesVol,Image
100063,300003,Dior,FALSE,3831,0,NULL
100064,300002,COACH,FALSE,2446,0,NULL
100065,300003,Primark / Penney's,FALSE,2577,0,NULL
100066,300004,Bosideng,FALSE,1334,0,NULL
100067,300004,Yves Saint Laurent,FALSE,4406,0,NULL
100068,300002,Next,FALSE,4219,0,NULL
100069,300004,Prada,FALSE,3662,0,NULL
100070,300003,COACH,FALSE,598,0,NULL
100071,300003,Puma,FALSE,4292,0,NULL
100072,300003,Calvin Klein,FALSE,3478,0,NULL
100073,300001,H&M,FALSE,4533,0,NULL
100074,300001,Under Armour,FALSE,1745,0,NULL
100075,300001,Givenchy,FALSE,1353,0,NULL
100076,300003,Skechers,FALSE,2533,0,NULL
100077,300003,Tommy Hilfiger,FALSE,829,0,NULL
100078,300003,Lao Feng Xiang,FALSE,2470,0,NULL
100079,300003,GUCCI,FALSE,4437,0,NULL
100080,300004,Calvin Klein,FALSE,1947,0,NULL
100081,300003,Bulgari,FALSE,1509,0,NULL
100082,300003,COACH,FALSE,4448,0,NULL
100083,300004,ZARA,FALSE,1766,0,NULL
100084,300004,Cartier,FALSE,3159,0,NULL
100085,300002,Cartier,FALSE,751,0,NULL
100086,300001,Dior,FALSE,510,0,NULL
100087,300002,Puma,FALSE,3537,0,NULL
100088,300003,Lao Feng Xiang,FALSE,3910,0,NULL
100089,300003,Pandora,FALSE,2537,0,NULL
100090,300003,Puma,FALSE,881,0,NULL
100091,300004,Chanel,FALSE,4709,0,NULL
100092,300003,Primark / Penney's,FALSE,3647,0,NULL
100093,300002,Rolex,FALSE,2340,0,NULL
100094,300003,Dior,FALSE,4236,0,NULL
100095,300001,Van Cleef & Arpels,FALSE,2636,0,NULL
100096,300002,Tommy Hilfiger,FALSE,1093,0,NULL
100097,300002,Omega,FALSE,2368,0,NULL
100098,300001,GUCCI,FALSE,3218,0,NULL
100099,300002,Tommy Hilfiger,FALSE,4142,0,NULL
100100,300003,The North Face,FALSE,2466,0,NULL
100101,300004,TAG Heuer,FALSE,2630,0,NULL
100102,300002,COACH,FALSE,2847,0,NULL
100103,300003,Li Ning,FALSE,1593,0,NULL
100104,300001,H&M,FALSE,315,0,NULL
100105,300001,Burberry,FALSE,1606,0,NULL
100106,300003,Bottega Veneta,FALSE,2180,0,NULL
100107,300003,Skechers,FALSE,1065,0,NULL
100108,300004,Cartier,FALSE,3098,0,NULL
100109,300004,ZARA,FALSE,3681,0,NULL
100110,300004,Prada,FALSE,635,0,NULL
100111,300001,Burberry,FALSE,1511,0,NULL
100112,300004,Burberry,FALSE,428,0,NULL
100113,300002,Lao Feng Xiang,FALSE,2353,0,NULL
100114,300003,Rolex,FALSE,150,0,NULL
100115,300004,Prada,FALSE,1321,0,NULL
100116,300004,Adidas,FALSE,3264,0,NULL
100117,300003,Moncler,FALSE,2152,0,NULL
100118,300001,Omega,FALSE,1153,0,NULL
100119,300001,Moncler,FALSE,1261,0,NULL
100120,300002,The North Face,FALSE,308,0,NULL
100121,300002,Chow Tai Fook,FALSE,1768,0,NULL
100122,300001,H&M,FALSE,3631,0,NULL
100123,300001,Boss,FALSE,1732,0,NULL
100124,300004,Ralph Lauren,FALSE,2253,0,NULL
100125,300004,Calvin Klein,FALSE,2117,0,NULL
100126,300001,Skechers,FALSE,468,0,NULL
100127,300001,Michael Kors,FALSE,2336,0,NULL
100128,300004,Givenchy,FALSE,2266,0,NULL
100129,300004,Omega,FALSE,897,0,NULL
100130,300003,Michael Kors,FALSE,27,0,NULL
100131,300004,Celine,FALSE,4917,0,NULL
100132,300004,Fila,FALSE,3875,0,NULL
100133,300004,Victoria's Secret,FALSE,1111,0,NULL
100134,300003,Anta,FALSE,3244,0,NULL
100135,300004,Ralph Lauren,FALSE,4717,0,NULL
100136,300001,Dior,FALSE,1962,0,NULL
100137,300004,Prada,FALSE,1401,0,NULL
100138,300002,Ray-Ban,FALSE,2736,0,NULL
100139,300004,Tommy Hilfiger,FALSE,2246,0,NULL
100140,300002,Pandora,FALSE,3672,0,NULL
100141,300001,Adidas,FALSE,1233,0,NULL
100142,300002,UNIQLO,FALSE,4175,0,NULL
100143,300001,Celine,FALSE,4430,0,NULL
100144,300003,Ralph Lauren,FALSE,4586,0,NULL
100145,300002,Celine,FALSE,2098,0,NULL
100146,300002,COACH,FALSE,3676,0,NULL
100147,300003,Skechers,FALSE,362,0,NULL
100148,300003,Pandora,FALSE,214,0,NULL
100149,300004,TAG Heuer,FALSE,3439,0,NULL
100150,300001,Bottega Veneta,FALSE,1251,0,NULL
100151,300004,Bulgari,FALSE,4931,0,NULL
100152,300001,GUCCI,FALSE,750,0,NULL
100153,300003,ZARA,FALSE,984,0,NULL
100154,300002,Louis Vuitton,FALSE,4782,0,NULL
100155,300002,ZARA,FALSE,2342,0,NULL
100156,300004,Calvin Klein,FALSE,190,0,NULL
100157,300002,Li Ning,FALSE,4317,0,NULL
100158,300003,Burberry,FALSE,125,0,NULL
100159,300004,Chanel,FALSE,2318,0,NULL
100160,300002,Prada,FALSE,2304,0,NULL
100161,300004,Van Cleef & Arpels,FALSE,2967,0,NULL
100162,300004,GUCCI,FALSE,4016,0,NULL
100163,300004,Adidas,FALSE,4295,0,NULL
100164,300004,GUCCI,FALSE,3098,0,NULL
100165,300004,Prada,FALSE,3802,0,NULL
100166,300003,Lululemon,FALSE,2390,0,NULL
100167,300003,Ralph Lauren,FALSE,2302,0,NULL
100168,300002,Puma,FALSE,4353,0,NULL
100169,300004,ZARA,FALSE,1788,0,NULL
100170,300002,Moncler,FALSE,4135,0,NULL
100171,300002,UNIQLO,FALSE,2510,0,NULL
100172,300002,TAG Heuer,FALSE,97,0,NULL
100173,300003,Ray-Ban,FALSE,2599,0,NULL
100174,300001,Boss,FALSE,1713,0,NULL
100175,300004,Next,FALSE,4502,0,NULL
100176,300004,ZARA,FALSE,2849,0,NULL
100177,300001,Ray-Ban,FALSE,1557,0,NULL
100178,300001,H&M,FALSE,4740,0,NULL
100179,300002,Chow Tai Fook,FALSE,4304,0,NULL
100180,300004,TAG Heuer,FALSE,749,0,NULL
100181,300003,Bosideng,FALSE,3575,0,NULL
100182,300003,TAG Heuer,FALSE,491,0,NULL
100183,300004,Skechers,FALSE,4352,0,NULL
100184,300003,Skechers,FALSE,2444,0,NULL
100185,300004,Under Armour,FALSE,2185,0,NULL
100186,300004,Skechers,FALSE,1110,0,NULL
100187,300004,Fila,FALSE,3163,0,NULL
100188,300004,Dior,FALSE,4161,0,NULL
100189,300001,Ralph Lauren,FALSE,1748,0,NULL
100190,300001,Prada,FALSE,3621,0,NULL
100191,300001,Levi's,FALSE,2392,0,NULL
100192,300004,TAG Heuer,FALSE,4329,0,NULL
100193,300004,TAG Heuer,FALSE,4844,0,NULL
100194,300004,Lao Feng Xiang,FALSE,2425,0,NULL
100195,300003,Rolex,FALSE,2515,0,NULL
100196,300003,GUCCI,FALSE,3574,0,NULL
100197,300003,Van Cleef & Arpels,FALSE,3137,0,NULL
100198,300003,Burberry,FALSE,3251,0,NULL
100199,300003,Skechers,FALSE,4179,0,NULL
100200,300001,Tiffany & Co.,FALSE,3223,0,NULL
100201,300003,Louis Vuitton,FALSE,243,0,NULL
100202,300004,H&M,FALSE,4689,0,NULL
100203,300001,Anta,FALSE,3748,0,NULL
100204,300001,ZARA,FALSE,2585,0,NULL
100205,300001,Armani,FALSE,1804,0,NULL
100206,300002,COACH,FALSE,4174,0,NULL
100207,300004,Calvin Klein,FALSE,1400,0,NULL
100208,300003,Skechers,FALSE,851,0,NULL
100209,300004,Michael Kors,FALSE,884,0,NULL
100210,300001,Bulgari,FALSE,3405,0,NULL
100211,300004,Under Armour,FALSE,1816,0,NULL
100212,300001,Celine,FALSE,4886,0,NULL
100213,300001,Michael Kors,FALSE,3702,0,NULL
100214,300003,Ralph Lauren,FALSE,854,0,NULL
100215,300002,H&M,FALSE,3002,0,NULL
100216,300001,Skechers,FALSE,4061,0,NULL
100217,300004,Under Armour,FALSE,4454,0,NULL
100218,300001,Puma,FALSE,2088,0,NULL
100219,300002,Puma,FALSE,4931,0,NULL
100220,300002,Under Armour,FALSE,2355,0,NULL
100221,300002,Old Navy,FALSE,3660,0,NULL
100222,300004,Next,FALSE,3967,0,NULL
100223,300004,Tommy Hilfiger,FALSE,233,0,NULL
100224,300001,Chanel,FALSE,1344,0,NULL
100225,300003,Rolex,FALSE,3912,0,NULL
100226,300002,Under Armour,FALSE,4116,0,NULL
100227,300004,Lululemon,FALSE,3174,0,NULL
100228,300004,Omega,FALSE,1634,0,NULL
100229,300004,Yves Saint Laurent,FALSE,3676,0,NULL
100230,300004,Rolex,FALSE,429,0,NULL
100231,300003,Moncler,FALSE,479,0,NULL
100232,300004,Tiffany & Co.,FALSE,4033,0,NULL
100233,300001,Next,FALSE,1683,0,NULL
100234,300002,Puma,FALSE,1578,0,NULL
100235,300001,Pandora,FALSE,688,0,NULL
100236,300004,Armani,FALSE,3,0,NULL
100237,300004,Boss,FALSE,159,0,NULL
100238,300001,Bosideng,FALSE,2550,0,NULL
100239,300002,Lao Feng Xiang,FALSE,4824,0,NULL
100240,300003,Skechers,FALSE,3258,0,NULL
100241,300004,Chow Tai Fook,FALSE,2093,0,NULL
100242,300001,Hermès,FALSE,4488,0,NULL
100243,300004,Hermès,FALSE,3445,0,NULL
100244,300001,Anta,FALSE,3662,0,NULL
100245,300001,Celine,FALSE,3192,0,NULL
100246,300001,GUCCI,FALSE,1899,0,NULL
100247,300001,Ralph Lauren,FALSE,3797,0,NULL
100248,300001,Levi's,FALSE,2928,0,NULL
100249,300002,Chanel,FALSE,1207,0,NULL
100250,300002,Primark / Penney's,FALSE,3007,0,NULL
100251,300004,Anta,FALSE,868,0,NULL
100252,300003,Lao Feng Xiang,FALSE,2106,0,NULL
100253,300002,Omega,FALSE,1169,0,NULL
100254,300001,Omega,FALSE,2910,0,NULL
100255,300001,Armani,FALSE,2824,0,NULL
100256,300003,Van Cleef & Arpels,FALSE,2402,0,NULL
100257,300003,Primark / Penney's,FALSE,3095,0,NULL
100258,300001,Omega,FALSE,4226,0,NULL
100259,300004,GUCCI,FALSE,2980,0,NULL
100260,300001,Under Armour,FALSE,3464,0,NULL
100261,300004,Primark / Penney's,FALSE,1160,0,NULL
100262,300002,Cartier,FALSE,3619,0,NULL
100263,300003,Hermès,FALSE,1942,0,NULL
100264,300003,H&M,FALSE,3024,0,NULL
100265,300004,COACH,FALSE,4137,0,NULL
100266,300004,TAG Heuer,FALSE,1599,0,NULL
100267,300003,Skechers,FALSE,960,0,NULL
100268,300004,Puma,FALSE,2136,0,NULL
100269,300001,Tiffany & Co.,FALSE,3010,0,NULL
100270,300003,Old Navy,FALSE,2572,0,NULL
100271,300001,Lao Feng Xiang,FALSE,836,0,NULL
100272,300004,Calvin Klein,FALSE,75,0,NULL
100273,300003,Prada,FALSE,4751,0,NULL
100274,300001,Nike,FALSE,3907,0,NULL
100275,300001,Lao Feng Xiang,FALSE,144,0,NULL
100276,300003,Anta,FALSE,37,0,NULL
100277,300003,Dior,FALSE,4848,0,NULL
100278,300003,Victoria's Secret,FALSE,4482,0,NULL
100279,300003,Adidas,FALSE,1252,0,NULL
100280,300004,Fila,FALSE,1901,0,NULL
100281,300001,Yves Saint Laurent,FALSE,3594,0,NULL
100282,300003,Levi's,FALSE,2668,0,NULL
100283,300004,Lululemon,FALSE,1591,0,NULL
100284,300002,Pandora,FALSE,3511,0,NULL
100285,300001,Tiffany & Co.,FALSE,1020,0,NULL
100286,300002,Next,FALSE,4189,0,NULL
100287,300004,H&M,FALSE,4392,0,NULL
100288,300002,Michael Kors,FALSE,1590,0,NULL
100289,300004,Puma,FALSE,3776,0,NULL
100290,300001,Prada,FALSE,4618,0,NULL
100291,300002,Givenchy,FALSE,4866,0,NULL
100292,300001,Van Cleef & Arpels,FALSE,756,0,NULL
100293,300002,Pandora,FALSE,2797,0,NULL
100294,300002,Omega,FALSE,3684,0,NULL
100295,300003,Skechers,FALSE,1930,0,NULL
100296,300004,Under Armour,FALSE,2349,0,NULL
100297,300001,H&M,FALSE,4018,0,NULL
100298,300002,Tiffany & Co.,FALSE,3067,0,NULL
100299,300001,Dior,FALSE,4492,0,NULL
100300,300003,Tiffany & Co.,FALSE,1778,0,NULL
100301,300004,Primark / Penney's,FALSE,3014,0,NULL
100302,300004,Skechers,FALSE,2767,0,NULL
100303,300001,Hermès,FALSE,1101,0,NULL
100304,300002,Lao Feng Xiang,FALSE,3558,0,NULL
100305,300004,Nike,FALSE,90,0,NULL
100306,300003,Burberry,FALSE,2275,0,NULL
100307,300003,Tiffany & Co.,FALSE,787,0,NULL
100308,300004,H&M,FALSE,897,0,NULL
100309,300003,Bosideng,FALSE,759,0,NULL
100310,300004,Bosideng,FALSE,1984,0,NULL
100311,300002,Bosideng,FALSE,2743,0,NULL
100312,300002,Hermès,FALSE,3799,0,NULL
100313,300002,Givenchy,FALSE,287,0,NULL
100314,300004,Lao Feng Xiang,FALSE,3183,0,NULL
100315,300001,Next,FALSE,2667,0,NULL
100316,300003,Dior,FALSE,2113,0,NULL
100317,300001,Ray-Ban,FALSE,2717,0,NULL
100318,300004,ZARA,FALSE,1607,0,NULL
100319,300003,Bosideng,FALSE,1882,0,NULL
100320,300002,Pandora,FALSE,3909,0,NULL
100321,300004,Celine,FALSE,1445,0,NULL
100322,300001,GUCCI,FALSE,1784,0,NULL
100323,300003,Nike,FALSE,1863,0,NULL
100324,300001,Givenchy,FALSE,3406,0,NULL
100325,300001,Next,FALSE,3562,0,NULL
100326,300004,GUCCI,FALSE,2985,0,NULL
100327,300001,Rolex,FALSE,3888,0,NULL
100328,300002,Lululemon,FALSE,2913,0,NULL
100329,300003,Tommy Hilfiger,FALSE,3430,0,NULL
100330,300003,Fila,FALSE,3659,0,NULL
100331,300004,Levi's,FALSE,2782,0,NULL
100332,300002,Chanel,FALSE,1811,0,NULL
100333,300004,Levi's,FALSE,2067,0,NULL
100334,300003,Bulgari,FALSE,276,0,NULL
100335,300004,Ray-Ban,FALSE,1929,0,NULL
100336,300003,Ralph Lauren,FALSE,3508,0,NULL
100337,300001,Tiffany & Co.,FALSE,3141,0,NULL
100338,300002,Levi's,FALSE,888,0,NULL
100339,300002,ZARA,FALSE,4260,0,NULL
100340,300004,Adidas,FALSE,2296,0,NULL
100341,300002,Primark / Penney's,FALSE,1931,0,NULL
100342,300001,Chanel,FALSE,2737,0,NULL
100343,300004,H&M,FALSE,2604,0,NULL
100344,300004,Louis Vuitton,FALSE,621,0,NULL
100345,300004,Boss,FALSE,2652,0,NULL
100346,300002,Lululemon,FALSE,4376,0,NULL
100347,300001,Rolex,FALSE,577,0,NULL
100348,300001,Adidas,FALSE,4089,0,NULL
100349,300003,Burberry,FALSE,1847,0,NULL
100350,300002,Adidas,FALSE,4351,0,NULL
100351,300001,Chanel,FALSE,982,0,NULL
100352,300004,Calvin Klein,FALSE,4917,0,NULL
100353,300001,Celine,FALSE,1866,0,NULL
100354,300001,Chow Tai Fook,FALSE,1401,0,NULL
100355,300002,Prada,FALSE,97,0,NULL
100356,300002,Victoria's Secret,FALSE,3517,0,NULL
100357,300001,Under Armour,FALSE,2464,0,NULL
100358,300002,Cartier,FALSE,2750,0,NULL
100359,300004,H&M,FALSE,882,0,NULL
100360,300003,Victoria's Secret,FALSE,262,0,NULL
100361,300001,Boss,FALSE,1282,0,NULL
100362,300004,GUCCI,FALSE,4207,0,NULL
100363,300003,Puma,FALSE,2753,0,NULL
100364,300004,Skechers,FALSE,2561,0,NULL
100365,300004,Armani,FALSE,2515,0,NULL
100366,300001,Burberry,FALSE,115,0,NULL
100367,300002,Rolex,FALSE,1461,0,NULL
100368,300002,Prada,FALSE,909,0,NULL
100369,300003,Skechers,FALSE,1683,0,NULL
100370,300003,Michael Kors,FALSE,1315,0,NULL
100371,300002,GUCCI,FALSE,2294,0,NULL
100372,300002,Chanel,FALSE,3242,0,NULL
100373,300002,Rolex,FALSE,2572,0,NULL
100374,300002,Van Cleef & Arpels,FALSE,3561,0,NULL
100375,300004,Van Cleef & Arpels,FALSE,2018,0,NULL
100376,300003,Burberry,FALSE,2199,0,NULL
100377,300003,TAG Heuer,FALSE,1243,0,NULL
100378,300001,Victoria's Secret,FALSE,228,0,NULL
100379,300002,Levi's,FALSE,2904,0,NULL
100380,300003,Givenchy,FALSE,1555,0,NULL
100381,300004,Dior,FALSE,4054,0,NULL
100382,300002,Burberry,FALSE,2081,0,NULL
100383,300003,TAG Heuer,FALSE,3981,0,NULL
100384,300004,Burberry,FALSE,604,0,NULL
100385,300002,Primark / Penney's,FALSE,1268,0,NULL
100386,300002,ZARA,FALSE,2366,0,NULL
100387,300004,COACH,FALSE,1062,0,NULL
100388,300002,Burberry,FALSE,2286,0,NULL
100389,300003,Hermès,FALSE,3650,0,NULL
100390,300001,Fila,FALSE,4407,0,NULL
100391,300001,UNIQLO,FALSE,3323,0,NULL
100392,300002,Lululemon,FALSE,1488,0,NULL
100393,300001,COACH,FALSE,2903,0,NULL
100394,300002,Pandora,FALSE,3935,0,NULL
100395,300002,Chanel,FALSE,2051,0,NULL
100396,300003,Armani,FALSE,2833,0,NULL
100397,300004,Under Armour,FALSE,2785,0,NULL
100398,300004,Bulgari,FALSE,1888,0,NULL
100399,300003,Armani,FALSE,2385,0,NULL
100400,300004,Ray-Ban,FALSE,2713,0,NULL
100401,300004,COACH,FALSE,1024,0,NULL
100402,300002,Tommy Hilfiger,FALSE,4168,0,NULL
100403,300004,H&M,FALSE,1857,0,NULL
100404,300003,Cartier,FALSE,559,0,NULL
100405,300002,Moncler,FALSE,1673,0,NULL
100406,300001,Under Armour,FALSE,3401,0,NULL
100407,300004,Victoria's Secret,FALSE,54,0,NULL
100408,300004,Under Armour,FALSE,3938,0,NULL
100409,300003,Skechers,FALSE,2700,0,NULL
100410,300001,Chow Tai Fook,FALSE,632,0,NULL
100411,300004,Ralph Lauren,FALSE,2776,0,NULL
100412,300002,Chow Tai Fook,FALSE,4408,0,NULL
100413,300002,Lululemon,FALSE,2749,0,NULL
100414,300001,ZARA,FALSE,2903,0,NULL
100415,300002,COACH,FALSE,3118,0,NULL
100416,300001,The North Face,FALSE,1612,0,NULL
100417,300001,H&M,FALSE,3215,0,NULL
100418,300001,Omega,FALSE,4772,0,NULL
100419,300001,Chanel,FALSE,2133,0,NULL
100420,300001,Nike,FALSE,3913,0,NULL
100421,300004,Lululemon,FALSE,1398,0,NULL
100422,300002,Cartier,FALSE,1411,0,NULL
100423,300004,Ray-Ban,FALSE,1755,0,NULL
100424,300001,Levi's,FALSE,1553,0,NULL
100425,300002,Chow Tai Fook,FALSE,95,0,NULL
100426,300002,Next,FALSE,3359,0,NULL
100427,300003,Louis Vuitton,FALSE,4296,0,NULL
100428,300004,Pandora,FALSE,19,0,NULL
100429,300001,Next,FALSE,717,0,NULL
100430,300004,Old Navy,FALSE,4415,0,NULL
100431,300002,Li Ning,FALSE,973,0,NULL
100432,300001,Levi's,FALSE,386,0,NULL
100433,300001,Victoria's Secret,FALSE,2862,0,NULL
100434,300003,Ray-Ban,FALSE,2706,0,NULL
100435,300001,Celine,FALSE,387,0,NULL
100436,300001,Chow Tai Fook,FALSE,1590,0,NULL
100437,300002,Louis Vuitton,FALSE,3212,0,NULL
100438,300004,Michael Kors,FALSE,968,0,NULL
100439,300001,Bulgari,FALSE,1565,0,NULL
100440,300001,Ray-Ban,FALSE,714,0,NULL
100441,300002,Dior,FALSE,2364,0,NULL
100442,300004,Burberry,FALSE,177,0,NULL
100443,300001,Li Ning,FALSE,3714,0,NULL
100444,300004,Cartier,FALSE,3927,0,NULL
100445,300001,Old Navy,FALSE,411,0,NULL
100446,300001,Levi's,FALSE,1628,0,NULL
100447,300002,Celine,FALSE,4479,0,NULL
100448,300001,Next,FALSE,2712,0,NULL
100449,300001,Moncler,FALSE,1475,0,NULL
100450,300001,TAG Heuer,FALSE,2803,0,NULL
100451,300004,Louis Vuitton,FALSE,1914,0,NULL
100452,300001,Levi's,FALSE,2268,0,NULL
100453,300004,Anta,FALSE,895,0,NULL
100454,300002,Dior,FALSE,1385,0,NULL
100455,300004,Victoria's Secret,FALSE,1564,0,NULL
100456,300003,Ralph Lauren,FALSE,2713,0,NULL
100457,300002,Fila,FALSE,4967,0,NULL
100458,300002,H&M,FALSE,3565,0,NULL
100459,300003,Tommy Hilfiger,FALSE,4784,0,NULL
100460,300004,Li Ning,FALSE,597,0,NULL
100461,300002,Li Ning,FALSE,1221,0,NULL
100462,300004,Moncler,FALSE,1224,0,NULL
100463,300001,Lao Feng Xiang,FALSE,2027,0,NULL
100464,300004,Li Ning,FALSE,209,0,NULL
100465,300001,Pandora,FALSE,1782,0,NULL
100466,300001,H&M,FALSE,361,0,NULL
100467,300004,Givenchy,FALSE,2648,0,NULL
100468,300003,Puma,FALSE,3277,0,NULL
100469,300002,Anta,FALSE,3775,0,NULL
100470,300001,ZARA,FALSE,3395,0,NULL
100471,300003,Bulgari,FALSE,4257,0,NULL
100472,300003,TAG Heuer,FALSE,1715,0,NULL
100473,300002,Anta,FALSE,4265,0,NULL
100474,300003,Boss,FALSE,3652,0,NULL
100475,300003,Chanel,FALSE,4789,0,NULL
100476,300001,Cartier,FALSE,4603,0,NULL
100477,300003,Yves Saint Laurent,FALSE,3333,0,NULL
100478,300002,Dior,FALSE,2391,0,NULL
100479,300001,ZARA,FALSE,1334,0,NULL
100480,300004,Victoria's Secret,FALSE,776,0,NULL
100481,300002,UNIQLO,FALSE,3408,0,NULL
100482,300003,H&M,FALSE,1454,0,NULL
100483,300004,Victoria's Secret,FALSE,4144,0,NULL
100484,300004,COACH,FALSE,2414,0,NULL
100485,300002,H&M,FALSE,3207,0,NULL
100486,300001,Levi's,FALSE,4932,0,NULL
100487,300004,Tiffany & Co.,FALSE,917,0,NULL
100488,300001,Adidas,FALSE,275,0,NULL
100489,300001,H&M,FALSE,3807,0,NULL
100490,300002,Ralph Lauren,FALSE,364,0,NULL
100491,300004,The North Face,FALSE,2865,0,NULL
100492,300002,Yves Saint Laurent,FALSE,4209,0,NULL
100493,300003,Puma,FALSE,4024,0,NULL
100494,300003,Nike,FALSE,511,0,NULL
100495,300001,Victoria's Secret,FALSE,4738,0,NULL
100496,300001,Dior,FALSE,4627,0,NULL
100497,300004,Skechers,FALSE,1980,0,NULL
100498,300001,Fila,FALSE,4531,0,NULL
100499,300001,Hermès,FALSE,286,0,NULL
100500,300004,Nike,FALSE,1011,0,NULL
100501,300003,Pandora,FALSE,3553,0,NULL
100502,300003,Pandora,FALSE,4710,0,NULL
100503,300002,Lululemon,FALSE,429,0,NULL
100504,300002,Anta,FALSE,4840,0,NULL
100505,300004,Dior,FALSE,4650,0,NULL
100506,300003,UNIQLO,FALSE,25,0,NULL
100507,300003,Victoria's Secret,FALSE,4101,0,NULL
100508,300003,Next,FALSE,653,0,NULL
100509,300001,Armani,FALSE,4314,0,NULL
100510,300002,Adidas,FALSE,637,0,NULL
100511,300002,Bottega Veneta,FALSE,1105,0,NULL
100512,300002,Yves Saint Laurent,FALSE,3281,0,NULL
100513,300003,Rolex,FALSE,3166,0,NULL
100514,300002,Boss,FALSE,2717,0,NULL
100515,300002,Armani,FALSE,2890,0,NULL
100516,300001,Rolex,FALSE,1600,0,NULL
100517,300004,GUCCI,FALSE,4143,0,NULL
100518,300002,Primark / Penney's,FALSE,3837,0,NULL
100519,300004,Van Cleef & Arpels,FALSE,3971,0,NULL
100520,300002,Prada,FALSE,1202,0,NULL
100521,300004,Michael Kors,FALSE,4492,0,NULL
100522,300002,Chanel,FALSE,2233,0,NULL
100523,300002,Lao Feng Xiang,FALSE,4014,0,NULL
100524,300003,Lululemon,FALSE,3233,0,NULL
100525,300003,Levi's,FALSE,2671,0,NULL
100526,300002,Nike,FALSE,1466,0,NULL
100527,300001,Pandora,FALSE,3862,0,NULL
100528,300003,Nike,FALSE,4458,0,NULL
100529,300002,Fila,FALSE,2706,0,NULL
100530,300002,Tommy Hilfiger,FALSE,4318,0,NULL
100531,300004,Van Cleef & Arpels,FALSE,2383,0,NULL
100532,300002,Bosideng,FALSE,4219,0,NULL
100533,300004,The North Face,FALSE,3146,0,NULL
100534,300001,Next,FALSE,2662,0,NULL
100535,300003,Moncler,FALSE,827,0,NULL
100536,300003,Omega,FALSE,698,0,NULL
